route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,route_sort_order,continuous_pickup,continuous_drop_off
A262,A,46,АВТОСТАНЦИЯ БАНКЯ - МАНАСТИР СВ. ПЕТКА ПАРАСКЕВА - АВТОСТАНЦИЯ БАНКЯ,,3,,BE1E2D,FFFFFF,,,
TM50,A,23,28-ми пощенски клон - Ж.К. ГЕО МИЛЕВ - 28-ми пощенски клон,,0,,F7941D,FFFFFF,,,
A84,A,204,Ж.К. ГОЦЕ ДЕЛЧЕВ - Ж.К. ДРУЖБА-2 - Ж.К. ГОЦЕ ДЕЛЧЕВ,,3,,BE1E2D,FFFFFF,,,
A215,A,110,Ж.К. БЪКСТОН - Ж.К. МЛАДОСТ-1 - Ж.К. БЪКСТОН,,3,,BE1E2D,FFFFFF,,,
A27,A,81,СЕВЕРНА ПРОМИШЛЕНА ЗОНА - МЕТРОСТАНЦИЯ СЛИВНИЦА - СЕВЕРНА ПРОМИШЛЕНА ЗОНА,,3,,BE1E2D,FFFFFF,,,
TM49,A,6A,Модна къща Агресия - ХЮНДАЙ БЪЛГАРИЯ - Модна къща Агресия,,0,,F7941D,FFFFFF,,,
TM30,A,7,Кв. Манастирски ливади-запад - МЕТРОСТАНЦИЯ ХАН КУБРАТ - Кв. Манастирски ливади-запад,,0,,F7941D,FFFFFF,,,
TB8,A,9,Пл. Сточна гара - Ж.К. БОРОВО - Пл. Сточна гара,,11,,27AAE1,FFFFFF,,,
A32,A,100,ПЪТНОСТРОИТЕЛНА ТЕХНИКА - ВРЕМЕННА - ПЪТНОСТРОИТЕЛНА ТЕХНИКА,,3,,BE1E2D,FFFFFF,,,
A208,A,11Tm,Ж.К. ЗАПАДЕН ПАРК - КВ. ПАВЛОВО - Ж.К. ЗАПАДЕН ПАРК,,3,,BE1E2D,FFFFFF,,,
A13,A,31,Ж.К. ОБЕЛЯ 1 - Село Голяновци - Ж.К. ОБЕЛЯ 1,,3,,BE1E2D,FFFFFF,,,
TM51,A,4,Ж.к. Бъкстон - ПЛ.ЦЕНТРАЛНА ГАРА - Ж.к. Бъкстон,,0,,F7941D,FFFFFF,,,
M2,A,M2,Летище София - Витоша - Летище София,,1,,1C75BC,FFFFFF,,,
A220,A,184,УЛ. ГЕН. ГУРКО - ЛЕТИЩЕ СОФИЯ ТЕРМИНАЛ 1 - УЛ. ГЕН. ГУРКО,,3,,BE1E2D,FFFFFF,,,
A145,A,10ТМ,МЕТРОСТАНЦИЯ ВИТОША - УЛ. ГРАФ ИГНАТИЕВ - МЕТРОСТАНЦИЯ ВИТОША,,3,,BE1E2D,FFFFFF,,,
